word1	word2	pmi
4	prozent	0.6467621767387912
mdax	1,13	9.199270535589594
35	millionen	2.5780843954860693
pleite	verbindlichkeiten	6.974944028475584
60	grad	2.583161218856338
wasser	boden	1.9227597314664564
mann	strafanzeige	3.021372020134566
seiten	informationen	0.4653649781203574
mann	kopf	1.7728195841755414
jährige	umfragen	4.003752863837711
0,30	zähler	7.030530856262062
unruhen	provinz	6.475952862356596
gewicht	350	5.75295271864697
1,73	punkte	5.303644972674629
spaß	seiten	1.417256041639729
polizei	15.000	3.3270444096209255
120,97	%	6.222956347892706
analysten	aktie	3.461451231472878
jahr	doppelgänger	4.58698288183264
9	jahrhundert	2.687541534474892
25	meter	2.9187306562978583
berichte	verletzte	4.990812666600074
wert	güte	5.0961731822579
online	millionen	0.7942301057651278
38	3	3.2405903168142043
38	%	2.1799050800581554
sachschaden	ersten	6.353850165555697
500	unterschriften	4.946233034966985
fotos	seite	1.321760840094822
vormonat	prozent	2.83899346542102
programm	fenster	1.4822567666174187
einigung	sicht	3.485537730080226
führungen	schulklassen	7.418560902548125
41,2	millionen	6.323659193276551
17:45	uhr	5.250142324460987
mädchen	frauen	2.401649051017942
rennen	uhr	1.3841632575342475
nachmittag	dollar	2.783494862173332
zeitpunkt	angaben	2.794868865534748
bank	zwei	0.452798804291632
15	2006	2.414334993637053
15	2008	2.564788811582985
15	2009	2.2320134368430984
drei	söhne	3.9528249997483984
15	2001	1.5508424473298688
15	2002	2.61861006064688
preise	verpackung	3.6463748423077784
1972	leben	3.526173871636838
software	updates	4.899073919163346
teilnehmer	24	2.314266622768384
begriff	politik	2.583161218856338
3	quartal	2.183775156824556
jahr	projekt	0.835128628557315
unternehmen	angaben	1.494126867899363
sechs	leben	1.3697712888208737
zwei	besatzungsmitglieder	4.045534397852666
motive	tat	4.086356392372921
million	käufer	4.979843635229499
fünf	millionen	2.0342540484830662
tote	hose	5.3083477022015355
dank	artikel	3.087169883842823
0,12	punkte	5.526788523988839
aktion	unterstützung	2.116500549721254
drohne	kamera	8.689544417157022
ruhe	gelassenheit	5.3970133392871915
39	%	2.996112353375328
minus	20	1.9873164926244569
zukunft	spiel	0.5648981537985082
millionen	einwohner	2.5096165962086086
gewicht	300	4.150683295691482
jugendliche	alter	3.936295697797188
kriterien	rolle	3.0959010006094205
19	stunden	1.6308203184945338
kunden	angebot	0.9782879894246785
beziehung	kind	3.36677595474482
wert	unternehmens	2.760798266440863
volkswirte	%	3.207421447042535
zahl	milliarden	0.9006680884467446
gesetzentwurf	parlament	5.035933101880543
16	variante	2.892223508328958
verletzten	behandlung	4.055103848868817
lieferung	dollar	3.1998296425184005
51	jährigen	4.636640852879459
51	jähriger	5.789320362817845
sache	gericht	1.8537850999999341
tv	sendern	5.84994498463428
jahre	zeit	-0.4806173176566081
kraftstoff	ölbindemittel	9.972460423823076
prozent	prozent	0.14334704386328528
punkten	handel	2.3897583044964206
schlafsack	isomatte	10.260142496274858
4000	menschen	2.8481547089963737
polizei	tötungsdelikts	5.061645465009032
punkte	einheiten	2.777916328366374
0:1	10	3.8961296560718535
nutzen	verhältnis	3.8659149010353886
anstieg	50	2.3886677918474546
einkaufsmanagerindex	industrie	6.969610682500222
0:1	23	4.723933721778056
gäste	gruppe	1.6824456987676544
anstieg	15	2.0576600496983204
anstieg	18	2.2803144838592235
veranstalter	party	3.8602015066648803
rolle	polizei	0.029031264194000973
autofahrer	polizei	2.669829238287044
ende	karriere	1.703298281371709
projekt	budget	3.882929757742436
produkt	markt	3.4622020832999274
höchstwerte	25	4.297420418032529
höchstwerte	27	5.009615793563169
20	jahr	0.45502145603923233
höchstwerte	20	3.7790759618525116
höchstwerte	21	4.712364270095238
35	arbeiten	2.7871545803681967
höchstwerte	11	4.8809036873745955
höchstwerte	12	4.426725099273257
höchstwerte	13	4.493310704032553
höchstwerte	14	4.250043137021518
tagestemperaturen	grad	7.2836415846487546
web	site	6.980581719585076
vier	stunden	2.388918834833278
millionen	aktien	0.9239893324682269
pause	partie	3.4409062236911496
wettbewerb	ende	1.0482509470440342
online	durchsuchung	5.541643624979764
stand	punkten	2.691787825356343
nachfolge	wochen	3.9271166430381914
rock	band	4.7284484021325826
verletzte	schießerei	6.388941485366967
sicherheit	schulen	2.5642762372575114
client	lösung	4.548979914321034
sechs	millionen	1.959981697270866
schaltzeit	12	7.5177675526315735
zeugin	täterbeschreibung	8.62253370687406
3,04	prozent	3.3440884144780254
aktien	konzerns	3.34064688172212
wahl	ort	1.479559924975884
1,13	milliarden	5.101087197060329
chance	risiko	4.023307074786818
frames	browser	4.707429034908507
sprache	musik	1.863020671033016
prozent	11,21	4.2603791463521805
%	punkten	2.5551303029766017
motorrad	2000	3.929488319569163
anfang	seite	0.7786269730961735
9	000	2.167509861801178
keller	4	2.773342354549586
überprüfung	angaben	3.088485673506343
hund	familie	2.979576491444585
bank	service	2.3867803824816716
18	mio	1.8616041490010382
verfügbarkeit	netzwerks	7.775235846486858
0,05	prozent	3.9726970739003997
prozent	11,85	4.2603791463521805
500	fans	2.857574838182225
schweißarbeiten	dach	7.662757863060167
werte	zähler	4.246843240954232
aktien	fokus	3.715340331163531
urteil	beteiligten	3.2705000578205365
unternehmen	maschinen	1.9576996068148083
anzeige	unbekannt	6.818504145054192
9,9	%	4.1435148062128695
weg	weg	0.48102839857848667
seite	mondes	5.015627835719798
alter	21	3.2390585319857177
alter	23	2.9321742525500007
bestell	formular	7.460154799846962
papier	prozent	2.5049873212950007
zwei	15	-0.3990757231229834
sprecherin	konzerns	5.08533884009219
alter	16	2.49712118725634
alter	17	2.981414968653164
alter	18	2.3211364783794783
zwei	23	0.43461648520844154
zwei	24	0.5439890423562286
zwei	25	0.6142389850332312
zwei	26	0.5490268363861858
grundstudium	vorprüfung	9.721145995542171
jahres	stellen	2.8034403857068657
zwei	33	1.6177861619046143
alter	35	3.490664547963689
alter	60	2.9412240880699185
infos	termine	3.0915625990108224
riesen	party	5.557932026244659
alter	67	4.8383440729558
